Timestamp,EventType,User,SourceIP,Database,Query,RowsAffected,Details,Result
2024-10-10 08:32:25,CONNECTION,safevault_app,10.21.1.10,safevault_prod,N/A,N/A,Application connection established,Success
2024-10-10 08:47:41,QUERY,safevault_app,10.21.1.10,safevault_prod,SELECT * FROM backup_jobs WHERE status='running',19,Query executed successfully,Success
2024-10-10 09:15:47,QUERY,safevault_app,10.21.1.10,safevault_prod,INSERT INTO backup_logs (customer_id...) VALUES (...),1,Backup log entry created,Success
2024-10-10 09:35:25,QUERY,safevault_app,10.21.1.10,safevault_prod,UPDATE backup_jobs SET status='completed' WHERE id=4634,1,Job status updated,Success
2024-10-10 10:15:58,QUERY,safevault_app,10.21.1.10,safevault_prod,SELECT COUNT(*) FROM customers,1,Customer count retrieved: 847,Success
2024-10-10 10:48:36,CONNECTION,safevault_app,10.21.1.10,safevault_prod,N/A,N/A,New connection from application,Success
2024-10-10 11:22:21,QUERY,safevault_app,10.21.1.10,safevault_prod,SELECT * FROM backup_schedules WHERE active=true,138,Active schedules retrieved,Success
2024-10-10 11:55:50,QUERY,safevault_app,10.21.1.10,safevault_prod,INSERT INTO customer_files (file_name...) VALUES (...),1,File metadata inserted,Success
2024-10-10 12:33:32,QUERY,safevault_app,10.21.1.10,safevault_prod,UPDATE customers SET last_backup=NOW() WHERE id=1389,1,Customer last backup timestamp updated,Success
2024-10-10 13:08:47,QUERY,safevault_app,10.21.1.10,safevault_prod,DELETE FROM backup_logs WHERE created_at < NOW() - INTERVAL '90 days',298,Old logs purged,Success
2024-10-10 13:45:25,CONNECTION,safevault_app,10.21.1.10,safevault_prod,N/A,N/A,Connection pool refresh,Success
2024-10-10 14:22:41,QUERY,safevault_app,10.21.1.10,safevault_prod,SELECT * FROM backup_jobs WHERE created_at > NOW() - INTERVAL '1 hour',18,Recent jobs retrieved,Success
2024-10-10 15:08:20,QUERY,safevault_app,10.21.1.10,safevault_prod,INSERT INTO backup_logs (customer_id...) VALUES (...),1,Backup log entry created,Success
2024-10-10 15:44:36,QUERY,safevault_app,10.21.1.10,safevault_prod,UPDATE backup_jobs SET progress=75 WHERE id=4901,1,Job progress updated,Success
2024-10-10 16:22:58,CONNECTION,safevault_app,10.21.1.10,safevault_prod,N/A,N/A,Application connection established,Success
